Start Date/Time,End Date/Time,Duration (secs)
16-Oct-2022 23:05:37,16-Oct-2022 23:21:37,960
16-Oct-2022 23:21:37,16-Oct-2022 23:53:07,1890
16-Oct-2022 23:53:07,17-Oct-2022 00:04:07,660
17-Oct-2022 00:07:07,17-Oct-2022 00:30:37,1410
17-Oct-2022 00:30:37,17-Oct-2022 00:35:07,270
17-Oct-2022 00:35:07,17-Oct-2022 00:51:37,990
17-Oct-2022 00:51:37,17-Oct-2022 01:07:07,930
17-Oct-2022 01:07:07,17-Oct-2022 01:18:37,690
17-Oct-2022 01:18:37,17-Oct-2022 01:32:37,840
17-Oct-2022 01:34:37,17-Oct-2022 01:37:37,180
17-Oct-2022 01:37:37,17-Oct-2022 02:28:37,3060
17-Oct-2022 02:28:37,17-Oct-2022 02:56:07,1650
17-Oct-2022 03:01:07,17-Oct-2022 03:29:37,1710
17-Oct-2022 03:30:37,17-Oct-2022 03:59:37,1740
17-Oct-2022 04:00:07,17-Oct-2022 04:11:07,660
17-Oct-2022 04:11:07,17-Oct-2022 04:34:37,1410
17-Oct-2022 04:34:37,17-Oct-2022 04:39:37,300
17-Oct-2022 04:39:37,17-Oct-2022 04:44:37,300
17-Oct-2022 04:44:37,17-Oct-2022 05:03:37,1140
17-Oct-2022 05:05:07,17-Oct-2022 05:44:37,2370
17-Oct-2022 05:44:37,17-Oct-2022 05:54:07,570
17-Oct-2022 05:56:07,17-Oct-2022 06:17:37,1290
17-Oct-2022 06:18:37,17-Oct-2022 06:24:37,360
17-Oct-2022 22:28:21,17-Oct-2022 22:39:21,660
17-Oct-2022 22:41:51,17-Oct-2022 22:56:21,870
17-Oct-2022 22:56:21,17-Oct-2022 23:32:21,2160
17-Oct-2022 23:32:21,17-Oct-2022 23:55:51,1410
17-Oct-2022 23:56:51,18-Oct-2022 00:25:51,1740
18-Oct-2022 00:25:51,18-Oct-2022 00:28:51,180
18-Oct-2022 00:28:51,18-Oct-2022 00:54:21,1530
18-Oct-2022 00:54:21,18-Oct-2022 01:12:21,1080
18-Oct-2022 01:22:21,18-Oct-2022 02:15:51,3210
18-Oct-2022 02:15:51,18-Oct-2022 02:21:21,330
18-Oct-2022 02:22:21,18-Oct-2022 02:22:51,30
18-Oct-2022 02:22:51,18-Oct-2022 02:26:51,240
18-Oct-2022 02:28:51,18-Oct-2022 03:09:51,2460
18-Oct-2022 03:10:51,18-Oct-2022 03:15:21,270
18-Oct-2022 03:15:21,18-Oct-2022 03:27:51,750
18-Oct-2022 03:29:21,18-Oct-2022 03:31:21,120
18-Oct-2022 03:31:21,18-Oct-2022 03:35:21,240
18-Oct-2022 03:47:51,18-Oct-2022 03:50:51,180
18-Oct-2022 04:03:51,18-Oct-2022 04:06:21,150
18-Oct-2022 04:09:21,18-Oct-2022 05:13:51,3870
18-Oct-2022 05:22:21,18-Oct-2022 05:26:51,270
18-Oct-2022 05:26:51,18-Oct-2022 05:27:21,30
18-Oct-2022 05:31:21,18-Oct-2022 05:44:51,810
18-Oct-2022 05:44:51,18-Oct-2022 05:49:21,270
18-Oct-2022 05:49:21,18-Oct-2022 05:49:51,30
18-Oct-2022 05:49:51,18-Oct-2022 06:28:51,2340
18-Oct-2022 22:15:43,18-Oct-2022 22:50:13,2070
18-Oct-2022 22:50:13,18-Oct-2022 22:56:13,360
18-Oct-2022 22:56:13,18-Oct-2022 23:05:43,570
18-Oct-2022 23:05:43,18-Oct-2022 23:19:13,810
18-Oct-2022 23:19:13,19-Oct-2022 00:01:13,2520
19-Oct-2022 00:01:43,19-Oct-2022 00:09:13,450
19-Oct-2022 00:09:43,19-Oct-2022 00:51:43,2520
19-Oct-2022 00:52:13,19-Oct-2022 01:03:13,660
19-Oct-2022 01:11:43,19-Oct-2022 01:20:13,510
19-Oct-2022 01:28:13,19-Oct-2022 02:21:43,3210
19-Oct-2022 02:21:43,19-Oct-2022 02:30:13,510
19-Oct-2022 02:34:13,19-Oct-2022 03:17:13,2580
