Date/Time,Calories (cal),Total Carbs (g),Protein (g),Total Fat (g),Sugar (g),Fiber(g),Sugar Alcohols (g)
24-Apr-2023 08:30:00,185.1,10.3,5.1,17.5,1.0,4.1,5.1
24-Apr-2023 08:30:00,102.6,3.2,9.6,5.8,3.2,0.0,NaN
24-Apr-2023 09:30:00,10.0,2.0,0.0,0.0,0.0,0.0,NaN
24-Apr-2023 09:30:00,NaN,0.0,0.0,0.0,NaN,0.0,0.0
24-Apr-2023 09:45:00,NaN,7.4,0.2,0.2,NaN,0.0,0.2
24-Apr-2023 09:45:00,6.0,0.0,0.7,0.1,0.0,0.0,NaN
24-Apr-2023 09:45:00,5.0,1.0,0.0,0.0,0.0,0.5,NaN
24-Apr-2023 10:00:00,NaN,7.4,0.2,0.2,NaN,0.0,0.2
24-Apr-2023 10:00:00,6.0,0.0,0.7,0.1,0.0,0.0,NaN
24-Apr-2023 10:00:00,106.3,0.2,24.8,0.2,0.1,0.0,NaN
24-Apr-2023 12:15:00,256.3,3.9,0.8,27.6,0.0,0.0,NaN
24-Apr-2023 12:15:00,NaN,117.9,0.0,27.9,NaN,0.0,0.0
24-Apr-2023 12:15:00,NaN,NaN,89.1,0.6,NaN,NaN,0.6
24-Apr-2023 12:15:00,44.0,0.0,4.4,2.9,0.0,0.0,NaN
24-Apr-2023 12:15:00,32.7,2.9,3.5,0.8,0.5,1.9,NaN
24-Apr-2023 12:30:00,0.0,0.0,0.0,0.0,0.0,NaN,NaN
24-Apr-2023 15:30:00,106.3,0.2,24.8,0.2,0.1,0.0,NaN
24-Apr-2023 15:45:00,6.0,0.0,0.7,0.1,0.0,0.0,NaN
24-Apr-2023 15:45:00,NaN,7.4,0.2,0.2,NaN,0.0,0.2
24-Apr-2023 20:00:00,6.0,0.0,0.7,0.1,0.0,0.0,NaN
24-Apr-2023 20:00:00,NaN,7.4,0.2,0.2,NaN,0.0,0.2
24-Apr-2023 20:00:00,106.3,0.2,24.8,0.2,0.1,0.0,NaN
24-Apr-2023 20:15:00,64.0,0.0,0.0,7.5,NaN,NaN,NaN
24-Apr-2023 20:15:00,79.4,8.0,3.3,3.8,1.8,3.0,NaN
24-Apr-2023 21:00:00,0.0,0.0,0.0,0.0,0.0,NaN,NaN
25-Apr-2023 07:30:00,138.3,4.3,13.0,7.8,4.3,0.0,NaN
25-Apr-2023 07:30:00,190.3,10.6,5.3,18.0,1.1,4.2,5.3
25-Apr-2023 07:45:00,90.0,27.0,0.0,0.0,NaN,27.0,NaN
25-Apr-2023 07:45:00,0.0,0.0,0.0,0.0,0.0,0.0,NaN
25-Apr-2023 08:30:00,10.0,2.0,0.0,0.0,0.0,0.0,NaN
25-Apr-2023 08:30:00,NaN,0.0,0.0,0.0,NaN,0.0,0.0
25-Apr-2023 09:00:00,6.0,0.0,0.7,0.1,0.0,0.0,NaN
25-Apr-2023 09:00:00,NaN,7.4,0.2,0.2,NaN,0.0,0.2
25-Apr-2023 09:00:00,5.0,1.0,0.0,0.0,0.0,0.5,NaN
25-Apr-2023 10:00:00,106.3,0.2,24.8,0.2,0.1,0.0,NaN
25-Apr-2023 10:00:00,NaN,7.4,0.2,0.2,NaN,0.0,0.2
25-Apr-2023 10:00:00,6.0,0.0,0.7,0.1,0.0,0.0,NaN
25-Apr-2023 13:15:00,NaN,117.9,0.0,27.9,NaN,0.0,0.0
25-Apr-2023 13:15:00,256.3,3.9,0.8,27.6,0.0,0.0,NaN
25-Apr-2023 13:15:00,NaN,NaN,89.1,0.6,NaN,NaN,0.6
25-Apr-2023 13:15:00,44.0,0.0,4.4,2.9,0.0,0.0,NaN
25-Apr-2023 13:15:00,0.0,0.0,0.0,0.0,0.0,NaN,NaN
25-Apr-2023 13:15:00,32.7,2.9,3.5,0.8,0.5,1.9,NaN
25-Apr-2023 15:15:00,106.3,0.2,24.8,0.2,0.1,0.0,NaN
25-Apr-2023 15:15:00,NaN,7.4,0.2,0.2,NaN,0.0,0.2
25-Apr-2023 15:15:00,6.0,0.0,0.7,0.1,0.0,0.0,NaN
25-Apr-2023 19:30:00,NaN,25.5,0.0,6.0,NaN,0.0,0.0
25-Apr-2023 19:30:00,170.7,17.1,7.0,8.1,3.9,6.5,NaN
25-Apr-2023 19:30:00,56.0,0.0,0.0,6.5,NaN,NaN,NaN
25-Apr-2023 19:30:00,NaN,NaN,86.8,0.6,NaN,NaN,0.6
26-Apr-2023 08:00:00,14.8,0.5,0.5,1.2,0.0,0.5,NaN
26-Apr-2023 08:00:00,240.0,16.0,28.0,8.0,NaN,2.0,NaN
26-Apr-2023 08:15:00,NaN,0.0,0.0,0.0,NaN,0.0,0.0
26-Apr-2023 08:15:00,90.0,27.0,0.0,0.0,NaN,27.0,NaN
26-Apr-2023 09:15:00,NaN,0.0,0.0,0.0,NaN,0.0,0.0
26-Apr-2023 09:15:00,0.0,0.0,0.0,0.0,NaN,NaN,NaN
26-Apr-2023 09:30:00,6.0,0.0,0.7,0.1,0.0,0.0,NaN
26-Apr-2023 09:30:00,7.4,0.2,0.2,0.6,0.0,0.2,NaN
26-Apr-2023 09:30:00,5.0,1.0,0.0,0.0,0.0,0.5,NaN
26-Apr-2023 10:00:00,106.3,0.2,24.8,0.2,0.1,0.0,NaN
26-Apr-2023 10:00:00,6.0,0.0,0.7,0.1,0.0,0.0,NaN
26-Apr-2023 10:00:00,7.4,0.2,0.2,0.6,0.0,0.2,NaN
26-Apr-2023 12:15:00,NaN,117.9,0.0,27.9,NaN,0.0,0.0
26-Apr-2023 12:15:00,256.3,3.9,0.8,27.6,0.0,0.0,NaN
26-Apr-2023 12:15:00,NaN,NaN,89.1,0.6,NaN,NaN,0.6
26-Apr-2023 12:15:00,44.0,0.0,4.4,2.9,0.0,0.0,NaN
26-Apr-2023 12:15:00,32.7,2.9,3.5,0.8,0.5,1.9,NaN
26-Apr-2023 12:30:00,0.0,0.0,0.0,0.0,0.0,NaN,NaN
26-Apr-2023 15:00:00,106.3,0.2,24.8,0.2,0.1,0.0,NaN
26-Apr-2023 15:00:00,NaN,7.4,0.2,0.2,NaN,0.0,0.2
26-Apr-2023 15:00:00,6.0,0.0,0.7,0.1,0.0,0.0,NaN
26-Apr-2023 19:15:00,64.0,0.0,0.0,7.5,NaN,NaN,NaN
26-Apr-2023 19:15:00,NaN,NaN,41.0,8.1,NaN,NaN,3.9
26-Apr-2023 19:15:00,100.0,9.0,15.0,1.0,1.0,6.0,NaN
26-Apr-2023 19:15:00,0.0,0.0,0.0,0.0,0.0,NaN,NaN
27-Apr-2023 08:00:00,14.8,0.5,0.5,1.2,0.0,0.5,NaN
27-Apr-2023 08:00:00,240.0,16.0,28.0,8.0,NaN,2.0,NaN
27-Apr-2023 08:00:00,NaN,0.0,0.0,0.0,NaN,0.0,0.0
27-Apr-2023 08:00:00,90.0,27.0,0.0,0.0,NaN,27.0,NaN
27-Apr-2023 09:15:00,NaN,0.0,0.0,0.0,NaN,0.0,0.0
27-Apr-2023 09:15:00,10.0,2.0,0.0,0.0,NaN,NaN,NaN
27-Apr-2023 10:00:00,6.0,0.0,0.7,0.1,0.0,0.0,NaN
27-Apr-2023 10:00:00,7.4,0.2,0.2,0.6,0.0,0.2,NaN
27-Apr-2023 10:00:00,5.0,1.0,0.0,0.0,0.0,0.5,NaN
27-Apr-2023 10:00:00,106.3,0.2,24.8,0.2,0.1,0.0,NaN
27-Apr-2023 10:00:00,6.0,0.0,0.7,0.1,0.0,0.0,NaN
27-Apr-2023 10:00:00,7.4,0.2,0.2,0.6,0.0,0.2,NaN
27-Apr-2023 12:30:00,NaN,117.9,0.0,27.9,NaN,0.0,0.0
27-Apr-2023 12:30:00,256.3,3.9,0.8,27.6,0.0,0.0,NaN
27-Apr-2023 12:30:00,NaN,NaN,89.1,0.6,NaN,NaN,0.6
27-Apr-2023 12:30:00,44.0,0.0,4.4,2.9,0.0,0.0,NaN
27-Apr-2023 12:30:00,32.7,2.9,3.5,0.8,0.5,1.9,NaN
27-Apr-2023 12:30:00,0.0,0.0,0.0,0.0,0.0,NaN,NaN
27-Apr-2023 15:00:00,106.3,0.2,24.8,0.2,0.1,0.0,NaN
27-Apr-2023 15:00:00,NaN,7.4,0.2,0.2,NaN,0.0,0.2
27-Apr-2023 15:00:00,6.0,0.0,0.7,0.1,0.0,0.0,NaN
27-Apr-2023 16:30:00,0.0,0.0,0.0,0.0,0.0,NaN,NaN
27-Apr-2023 19:30:00,710.0,24.0,58.0,44.0,7.0,11.0,NaN
27-Apr-2023 19:30:00,NaN,0.0,0.0,0.0,NaN,0.0,0.0
27-Apr-2023 19:45:00,4.8,0.0,0.6,0.1,0.0,0.0,NaN
27-Apr-2023 22:00:00,NaN,0.0,0.0,0.0,NaN,0.0,0.0
27-Apr-2023 23:45:00,0.0,0.0,0.0,0.0,0.0,NaN,NaN
28-Apr-2023 09:00:00,NaN,NaN,272.7,3.0,NaN,NaN,2.5
28-Apr-2023 09:00:00,6.9,1.1,0.9,0.1,0.1,0.7,NaN
28-Apr-2023 09:00:00,30.0,6.0,3.0,0.0,1.5,1.5,NaN
28-Apr-2023 09:00:00,130.0,1.0,12.0,8.0,0.0,1.0,NaN
28-Apr-2023 09:00:00,71.6,1.3,0.8,7.6,0.4,0.8,NaN
28-Apr-2023 10:15:00,220.1,2.0,14.0,18.0,0.0,0.0,NaN
28-Apr-2023 09:16:00,0.0,0.0,0.0,0.0,0.0,0.0,NaN
28-Apr-2023 09:16:00,10.0,2.0,0.0,0.0,NaN,NaN,NaN
28-Apr-2023 10:15:00,4.8,0.0,0.6,0.1,0.0,0.0,NaN
28-Apr-2023 10:15:00,7.4,0.2,0.2,0.6,0.0,0.2,NaN
28-Apr-2023 10:15:00,5.0,1.0,0.0,0.0,0.0,0.5,NaN
28-Apr-2023 10:45:00,22.2,0.7,0.7,1.9,0.0,0.7,NaN
28-Apr-2023 10:45:00,120.0,3.0,24.0,1.5,1.0,NaN,NaN
28-Apr-2023 11:45:00,0.0,0.0,0.0,0.0,0.0,NaN,NaN
28-Apr-2023 12:00:00,4.8,0.0,0.6,0.1,0.0,0.0,NaN
28-Apr-2023 13:30:00,231.0,20.2,13.8,11.2,7.0,8.4,NaN
28-Apr-2023 13:30:00,110.1,4.0,1.0,10.0,2.0,NaN,NaN
28-Apr-2023 13:30:00,180.0,4.0,8.0,14.0,0.0,0.0,NaN
28-Apr-2023 13:30:00,160.0,4.0,20.0,6.7,0.0,1.3,NaN
28-Apr-2023 13:30:00,0.0,0.0,0.0,0.0,0.0,NaN,NaN
28-Apr-2023 16:30:00,NaN,0.0,0.0,0.4,NaN,0.0,0.0
28-Apr-2023 19:30:00,2.0,40.0,156.0,78.0,NaN,18.0,0.0
28-Apr-2023 21:15:00,280.0,20.0,6.0,26.0,0.0,6.0,NaN
28-Apr-2023 20:30:00,0.0,0.0,0.0,0.0,0.0,NaN,NaN
29-Apr-2023 08:15:00,0.0,0.0,0.0,0.0,0.0,0.0,NaN
